timestamp,p (mbar),T (degC),Tpot (K),Tdew (degC),rh (%),VPmax (mbar),VPact (mbar),VPdef (mbar),sh (g/kg),H2OC (mmol/mol),rho (g/m**3),wv (m/s),max. wv (m/s),wd (deg),reconstructed_temperature,is_reconstructed
2015-01-01 18:10:00,1005.7,2.28,274.99,0.77,89.7,7.2,6.46,0.74,4.0,6.42,1268.86,2.75,3.77,211.1,2.28,False
2015-01-01 18:20:00,1005.67,2.35,275.07,0.8,89.4,7.24,6.47,0.77,4.01,6.44,1268.47,2.83,3.49,214.6,2.35,False
2015-01-01 18:30:00,1005.68,2.4,275.11,0.83,89.3,7.26,6.49,0.78,4.02,6.45,1268.27,2.42,3.28,215.2,2.4,False
2015-01-01 18:40:00,1005.59,2.44,275.16,0.83,89.1,7.28,6.49,0.79,4.02,6.45,1267.99,2.36,3.69,212.9,2.44,False
2015-01-01 18:50:00,1005.55,2.53,275.25,0.87,88.8,7.33,6.51,0.82,4.04,6.47,1267.52,1.63,2.38,204.2,2.53,False
2015-01-01 19:00:00,1005.37,2.37,275.11,0.77,89.1,7.25,6.46,0.79,4.01,6.42,1268.02,2.26,3.43,206.0,2.37,False
2015-01-01 19:10:00,1005.25,2.41,275.16,0.85,89.4,7.27,6.5,0.77,4.03,6.46,1267.69,2.77,3.97,202.6,2.41,False
2015-01-01 19:20:00,1005.26,2.56,275.31,0.96,89.1,7.35,6.55,0.8,4.06,6.51,1266.96,1.87,3.57,205.6,2.56,False
2015-01-01 19:30:00,1005.05,2.64,275.4,0.91,88.3,7.39,6.52,0.86,4.05,6.49,1266.35,1.86,3.08,201.7,2.64,False
2015-01-01 19:40:00,1004.75,2.62,275.4,0.88,88.3,7.38,6.51,0.86,4.04,6.48,1266.09,2.34,3.1,193.5,2.62,False
2015-01-01 19:50:00,1004.5,2.51,275.31,0.84,88.7,7.32,6.49,0.83,4.03,6.46,1266.28,2.95,4.17,192.9,2.51,False
2015-01-01 20:00:00,1004.3,2.46,275.28,0.83,88.9,7.3,6.49,0.81,4.03,6.46,1266.24,2.94,4.09,185.0,2.46,False
2015-01-01 20:10:00,1004.33,2.65,275.47,0.92,88.3,7.4,6.53,0.87,4.05,6.5,1265.39,3.23,4.93,187.7,2.65,False
2015-01-01 20:20:00,1004.41,2.74,275.55,0.86,87.4,7.44,6.5,0.94,4.04,6.47,1265.11,2.16,3.89,199.5,2.74,False
2015-01-01 20:30:00,1004.36,2.6,275.41,0.77,87.7,7.37,6.46,0.91,4.01,6.43,1265.71,3.15,4.73,168.5,2.6,False
2015-01-01 20:40:00,1004.25,2.12,274.94,0.67,90.1,7.12,6.41,0.7,3.98,6.39,1267.8,2.21,3.61,174.9,2.12,False
2015-01-01 20:50:00,1004.22,1.97,274.8,0.75,91.6,7.04,6.45,0.59,4.01,6.42,1268.44,2.31,4.11,164.4,1.97,False
2015-01-01 21:00:00,1004.15,1.85,274.68,0.71,92.1,6.98,6.43,0.55,3.99,6.4,1268.9,2.03,3.71,174.4,1.85,False
2015-01-01 21:10:00,1004.23,1.85,274.67,0.73,92.3,6.98,6.44,0.54,4.0,6.42,1269.02,1.31,2.16,173.9,1.85,False
2015-01-01 21:20:00,1004.11,1.86,274.69,0.73,92.2,6.99,6.44,0.54,4.0,6.41,1268.81,1.48,2.84,170.3,1.86,False
2015-01-01 21:30:00,1003.85,1.78,274.64,0.6,91.8,6.95,6.38,0.57,3.96,6.35,1268.86,1.26,2.66,175.5,1.78,False
2015-01-01 21:40:00,1003.76,1.77,274.64,0.62,92.0,6.94,6.39,0.56,3.97,6.36,1268.78,1.3,2.28,169.3,1.77,False
2015-01-01 21:50:00,1003.72,1.71,274.58,0.54,91.9,6.91,6.35,0.56,3.95,6.33,1269.04,0.69,1.8,221.0,1.71,False
2015-01-01 22:00:00,1003.73,1.76,274.63,0.62,92.1,6.94,6.39,0.55,3.97,6.37,1268.8,0.54,1.52,137.1,1.76,False
2015-01-01 22:10:00,1003.64,1.75,274.62,0.58,91.9,6.93,6.37,0.56,3.96,6.35,1268.75,1.26,1.92,176.9,1.75,False
2015-01-01 22:20:00,1003.13,1.37,274.28,0.21,92.0,6.74,6.2,0.54,3.86,6.18,1269.95,2.5,3.81,181.3,1.37,False
2015-01-01 22:30:00,1003.04,1.47,274.39,0.44,92.8,6.79,6.31,0.49,3.92,6.29,1269.31,1.78,3.45,162.2,1.47,False
2015-01-01 22:40:00,1002.95,1.63,274.56,0.42,91.6,6.87,6.3,0.58,3.91,6.28,1268.45,2.15,3.81,154.5,1.63,False
2015-01-01 22:50:00,1002.72,1.47,274.42,0.27,91.7,6.79,6.23,0.56,3.87,6.21,1268.93,2.07,3.32,192.7,1.47,False
2015-01-01 23:00:00,1002.53,1.55,274.51,0.39,92.0,6.83,6.29,0.55,3.91,6.27,1268.31,3.1,4.61,157.8,1.55,False
2015-01-01 23:10:00,1002.41,1.58,274.55,0.36,91.5,6.85,6.27,0.58,3.9,6.25,1268.0,2.53,4.55,152.0,1.58,False
2015-01-01 23:20:00,1002.09,1.63,274.63,0.37,91.3,6.87,6.28,0.6,3.9,6.26,1267.37,3.87,6.21,158.3,1.63,False
2015-01-01 23:30:00,1002.03,1.77,274.77,0.38,90.4,6.94,6.28,0.67,3.91,6.26,1266.65,1.99,3.69,158.6,1.77,False
2015-01-01 23:40:00,1001.94,1.82,274.82,0.37,90.1,6.97,6.28,0.69,3.91,6.26,1266.33,2.42,5.09,127.4,1.82,False
2015-01-01 23:50:00,1001.9,1.81,274.82,0.34,89.9,6.96,6.26,0.7,3.9,6.25,1266.3,3.27,4.97,138.2,1.81,False
2015-01-02 00:00:00,1001.61,1.77,274.8,0.28,89.8,6.94,6.23,0.71,3.88,6.22,1266.15,2.74,4.37,157.9,1.77,False
2015-01-02 00:10:00,1001.39,1.54,274.59,0.14,90.4,6.83,6.17,0.66,3.84,6.16,1266.98,1.41,2.16,199.8,1.54,False
2015-01-02 00:20:00,1001.07,1.45,274.53,0.12,90.8,6.79,6.16,0.62,3.84,6.16,1266.95,1.79,2.96,175.0,1.45,False
2015-01-02 00:30:00,1001.02,1.45,274.53,0.18,91.2,6.78,6.19,0.6,3.85,6.18,1266.9,0.84,2.36,359.2,1.45,False
2015-01-02 00:40:00,1001.23,1.62,274.68,0.3,90.9,6.87,6.24,0.62,3.89,6.23,1266.35,1.26,2.24,91.2,1.62,False
2015-01-02 00:50:00,1001.02,1.72,274.8,0.2,89.6,6.92,6.2,0.72,3.86,6.19,1265.65,1.08,1.8,205.0,1.72,False
2015-01-02 01:00:00,1000.95,1.7,274.78,0.21,89.8,6.91,6.2,0.7,3.86,6.2,1265.64,1.05,2.68,135.9,1.7,False
2015-01-02 01:10:00,1000.8,1.57,274.66,0.11,90.0,6.84,6.16,0.68,3.84,6.15,1266.09,1.11,3.0,184.2,1.57,False
2015-01-02 01:20:00,1000.63,1.64,274.75,0.18,90.0,6.88,6.19,0.69,3.86,6.19,1265.54,1.25,2.8,140.8,1.64,False
2015-01-02 01:30:00,1000.45,1.57,274.7,0.07,89.7,6.84,6.14,0.7,3.83,6.14,1265.64,1.88,3.77,176.6,1.57,False
2015-01-02 01:40:00,1000.3,1.53,274.66,0.09,90.1,6.82,6.15,0.68,3.83,6.14,1265.66,1.77,3.2,164.9,1.53,False
2015-01-02 01:50:00,1000.26,1.68,274.82,0.15,89.5,6.9,6.17,0.72,3.85,6.17,1264.88,1.4,3.08,138.4,1.68,False
2015-01-02 02:00:00,1000.25,1.84,274.98,0.21,88.9,6.98,6.2,0.77,3.87,6.2,1264.11,1.67,2.96,97.5,1.84,False
2015-01-02 02:10:00,1000.11,2.02,275.17,0.06,86.8,7.07,6.13,0.93,3.82,6.13,1263.15,1.53,3.04,165.4,2.02,False
2015-01-02 02:20:00,999.79,1.95,275.13,-0.02,86.7,7.04,6.1,0.94,3.8,6.1,1263.06,2.92,5.59,162.6,1.95,False
2015-01-02 02:30:00,999.68,2.52,275.71,-0.33,81.4,7.33,5.96,1.36,3.72,5.97,1260.38,1.73,4.73,172.9,2.52,False
2015-01-02 02:40:00,999.39,2.8,276.01,-0.51,78.7,7.47,5.88,1.59,3.67,5.89,1258.78,3.06,4.97,173.2,2.8,False
2015-01-02 02:50:00,999.11,2.88,276.11,-0.58,77.9,7.51,5.85,1.66,3.65,5.86,1258.1,3.41,5.29,166.2,2.88,False
2015-01-02 03:00:00,,,,,,,,,,,,,,,2.1848092662973686,True
2015-01-02 03:10:00,,,,,,,,,,,,,,,2.253441582664098,True
2015-01-02 03:20:00,,,,,,,,,,,,,,,2.2999755617652227,True
2015-01-02 03:30:00,,,,,,,,,,,,,,,2.332413992022614,True
2015-01-02 03:40:00,,,,,,,,,,,,,,,2.33847725001465,True
2015-01-02 03:50:00,,,,,,,,,,,,,,,2.345031876062081,True
2015-01-02 04:00:00,,,,,,,,,,,,,,,2.351091064753451,True
2015-01-02 04:10:00,,,,,,,,,,,,,,,2.354297673678098,True
2015-01-02 04:20:00,,,,,,,,,,,,,,,2.3517925104557174,True
2015-01-02 04:30:00,,,,,,,,,,,,,,,2.3402555344056033,True
2015-01-02 04:40:00,,,,,,,,,,,,,,,2.3143178119618204,True
2015-01-02 04:50:00,,,,,,,,,,,,,,,2.2359949647220816,True
2015-01-02 05:00:00,997.08,2.4,275.79,-1.22,76.9,7.26,5.59,1.68,3.49,5.6,1257.82,2.78,4.77,175.9,2.4,False
2015-01-02 05:10:00,996.85,2.16,275.57,-1.17,78.5,7.14,5.6,1.53,3.5,5.62,1258.63,2.74,5.13,169.1,2.16,False
2015-01-02 05:20:00,996.67,2.23,275.65,-1.19,78.0,7.17,5.6,1.58,3.5,5.61,1258.1,3.52,6.81,165.7,2.23,False
2015-01-02 05:30:00,996.48,2.08,275.52,-1.18,78.9,7.1,5.6,1.5,3.5,5.62,1258.53,2.25,4.53,166.4,2.08,False
2015-01-02 05:40:00,996.34,2.0,275.45,-1.15,79.5,7.06,5.61,1.45,3.51,5.63,1258.69,1.42,2.86,134.4,2.0,False
2015-01-02 05:50:00,996.1,1.94,275.41,-1.14,79.9,7.03,5.62,1.41,3.51,5.64,1258.66,1.32,2.96,106.0,1.94,False
2015-01-02 06:00:00,995.91,2.07,275.55,-1.19,78.9,7.09,5.6,1.5,3.5,5.62,1257.86,1.24,2.9,115.6,2.07,False
2015-01-02 06:10:00,995.7,2.72,276.22,-1.36,74.4,7.43,5.53,1.9,3.46,5.55,1254.66,3.09,8.53,183.9,2.72,False
2015-01-02 06:20:00,995.75,3.83,277.33,-1.63,67.36,8.04,5.42,2.62,3.39,5.44,1249.73,7.09,9.69,210.3,3.83,False
2015-01-02 06:30:00,995.77,4.15,277.64,-1.67,65.69,8.22,5.4,2.82,3.38,5.42,1248.34,6.03,9.61,209.0,4.15,False
2015-01-02 06:40:00,995.77,4.26,277.75,-1.72,64.97,8.29,5.38,2.9,3.37,5.41,1247.87,6.04,9.37,208.9,4.26,False
2015-01-02 06:50:00,995.76,4.37,277.87,-1.73,64.4,8.35,5.38,2.97,3.37,5.4,1247.33,5.98,9.13,207.3,4.37,False
2015-01-02 07:00:00,995.7,4.37,277.87,-1.71,64.49,8.35,5.39,2.97,3.37,5.41,1247.26,6.39,9.85,209.8,4.37,False
2015-01-02 07:10:00,995.65,4.4,277.91,-1.75,64.14,8.37,5.37,3.0,3.36,5.39,1247.07,6.88,9.45,211.5,4.4,False
2015-01-02 07:20:00,995.46,4.44,277.96,-1.73,64.05,8.39,5.38,3.02,3.37,5.4,1246.64,8.01,10.85,210.0,4.44,False
2015-01-02 07:30:00,995.27,4.36,277.89,-1.6,65.09,8.34,5.43,2.91,3.4,5.46,1246.76,8.18,11.4,207.0,4.36,False
2015-01-02 07:40:00,995.28,4.35,277.88,-1.62,65.01,8.34,5.42,2.92,3.39,5.45,1246.82,8.42,12.06,214.3,4.35,False
2015-01-02 07:50:00,995.29,4.58,278.12,-1.63,63.93,8.48,5.42,3.06,3.39,5.44,1245.78,7.82,11.26,212.7,4.58,False
2015-01-02 08:00:00,995.17,4.47,278.02,-1.09,67.05,8.41,5.64,2.77,3.53,5.67,1246.02,7.35,9.93,208.7,4.47,False
2015-01-02 08:10:00,995.03,4.19,277.75,-0.59,70.9,8.25,5.85,2.4,3.66,5.88,1247.0,5.5,7.61,204.1,4.19,False
2015-01-02 08:20:00,995.01,4.17,277.73,-0.29,72.6,8.24,5.98,2.26,3.75,6.01,1247.01,4.62,6.41,205.9,4.17,False
2015-01-02 08:30:00,995.24,4.05,277.59,0.17,75.7,8.17,6.18,1.98,3.87,6.21,1247.75,3.96,5.97,210.4,4.05,False
2015-01-02 08:40:00,995.54,4.04,277.56,0.81,79.4,8.16,6.48,1.68,4.06,6.51,1248.03,2.7,7.33,235.7,4.04,False
2015-01-02 08:50:00,995.73,4.12,277.62,1.0,80.0,8.21,6.57,1.64,4.11,6.59,1247.85,3.53,8.89,227.5,4.12,False
2015-01-02 09:00:00,995.49,3.99,277.51,1.07,81.2,8.13,6.6,1.53,4.14,6.63,1248.13,2.84,5.05,211.8,3.99,False
2015-01-02 09:10:00,995.49,3.9,277.42,1.05,81.6,8.08,6.59,1.49,4.13,6.62,1248.54,3.06,6.65,213.0,3.9,False
2015-01-02 09:20:00,995.59,3.76,277.27,1.23,83.5,8.0,6.68,1.32,4.18,6.71,1249.26,3.07,6.29,216.3,3.76,False
2015-01-02 09:30:00,995.45,3.69,277.21,1.3,84.3,7.96,6.71,1.25,4.2,6.74,1249.39,4.6,7.69,216.6,3.69,False
2015-01-02 09:40:00,995.19,3.74,277.28,1.31,84.1,7.99,6.72,1.27,4.21,6.75,1248.83,7.51,10.35,214.3,3.74,False
2015-01-02 09:50:00,995.09,3.73,277.28,1.47,85.1,7.99,6.8,1.19,4.26,6.83,1248.69,6.85,10.45,216.1,3.73,False
2015-01-02 10:00:00,995.12,3.78,277.33,1.64,85.9,8.01,6.88,1.13,4.31,6.91,1248.49,6.36,9.89,221.8,3.78,False
2015-01-02 10:10:00,995.06,3.91,277.46,1.74,85.7,8.08,6.93,1.16,4.34,6.96,1247.8,6.88,10.81,219.3,3.91,False
2015-01-02 10:20:00,995.09,4.01,277.56,1.78,85.3,8.15,6.95,1.2,4.35,6.98,1247.35,7.33,10.87,218.9,4.01,False
2015-01-02 10:30:00,995.11,4.16,277.71,1.71,84.0,8.23,6.91,1.32,4.33,6.95,1246.73,7.48,10.41,218.1,4.16,False
2015-01-02 10:40:00,995.19,4.17,277.71,1.62,83.4,8.24,6.87,1.37,4.3,6.9,1246.82,7.5,11.46,217.7,4.17,False
2015-01-02 10:50:00,995.34,4.04,277.57,1.45,83.2,8.16,6.79,1.37,4.25,6.82,1247.65,7.09,9.87,216.2,4.04,False
2015-01-02 11:00:00,995.62,3.89,277.4,1.28,83.0,8.07,6.7,1.37,4.2,6.73,1248.71,6.24,10.61,220.8,3.89,False
2015-01-02 11:10:00,995.58,3.76,277.27,1.08,82.6,8.0,6.61,1.39,4.14,6.64,1249.29,7.43,10.65,219.5,3.76,False
2015-01-02 11:20:00,995.67,3.74,277.24,0.98,82.1,7.99,6.56,1.43,4.11,6.59,1249.53,7.12,10.65,221.0,3.74,False
2015-01-02 11:30:00,995.74,3.8,277.3,1.03,82.0,8.03,6.58,1.44,4.12,6.61,1249.29,6.45,10.49,217.7,3.8,False
2015-01-02 11:40:00,995.83,3.92,277.41,1.02,81.3,8.09,6.58,1.51,4.12,6.6,1248.9,7.07,10.09,216.9,3.92,False
2015-01-02 11:50:00,995.87,3.99,277.47,1.07,81.2,8.13,6.6,1.53,4.13,6.63,1248.62,6.16,8.97,214.5,3.99,False
2015-01-02 12:00:00,995.91,4.02,277.5,1.1,81.2,8.15,6.62,1.53,4.14,6.64,1248.53,5.01,7.49,208.1,4.02,False
2015-01-02 12:10:00,996.24,4.17,277.63,1.23,81.1,8.23,6.68,1.56,4.18,6.7,1248.24,4.5,7.07,210.3,4.17,False
2015-01-02 12:20:00,996.38,4.22,277.66,1.28,81.1,8.26,6.7,1.56,4.19,6.72,1248.18,3.45,5.17,206.8,4.22,False
2015-01-02 12:30:00,996.2,4.29,277.75,1.45,81.7,8.3,6.78,1.52,4.25,6.81,1247.6,3.72,5.61,202.1,4.29,False
2015-01-02 12:40:00,996.28,4.33,277.78,1.54,82.0,8.33,6.83,1.5,4.27,6.85,1247.5,2.28,3.69,226.3,4.33,False
2015-01-02 12:50:00,996.26,4.29,277.74,1.63,82.8,8.3,6.87,1.43,4.3,6.9,1247.65,2.45,3.53,219.2,4.29,False
2015-01-02 13:00:00,996.08,4.49,277.96,1.88,83.1,8.42,7.0,1.42,4.38,7.03,1246.44,3.36,5.29,217.8,4.49,False
2015-01-02 13:10:00,995.94,4.86,278.34,2.18,82.7,8.64,7.15,1.5,4.48,7.18,1244.53,3.64,5.85,221.3,4.86,False
2015-01-02 13:20:00,995.97,4.98,278.46,2.19,82.1,8.72,7.16,1.56,4.48,7.19,1244.02,3.75,6.37,224.0,4.98,False
2015-01-02 13:30:00,995.97,4.87,278.35,2.07,82.0,8.65,7.09,1.56,4.44,7.12,1244.55,3.18,6.17,223.3,4.87,False
2015-01-02 13:40:00,996.08,4.82,278.29,2.04,82.1,8.62,7.08,1.54,4.43,7.11,1244.91,2.89,6.61,224.3,4.82,False
2015-01-02 13:50:00,996.18,4.8,278.27,1.97,81.8,8.61,7.04,1.57,4.41,7.07,1245.14,3.83,6.89,221.4,4.8,False
2015-01-02 14:00:00,996.27,4.8,278.26,1.88,81.3,8.61,7.0,1.61,4.38,7.02,1245.29,4.9,8.25,217.8,4.8,False
2015-01-02 14:10:00,996.37,4.79,278.24,1.78,80.8,8.6,6.95,1.65,4.35,6.97,1245.49,5.07,9.73,212.4,4.79,False
2015-01-02 14:20:00,996.48,4.74,278.18,1.8,81.2,8.57,6.96,1.61,4.35,6.98,1245.86,3.63,7.93,217.4,4.74,False
2015-01-02 14:30:00,996.54,4.81,278.24,1.85,81.1,8.61,6.98,1.63,4.37,7.01,1245.6,3.23,5.51,218.1,4.81,False
2015-01-02 14:40:00,996.73,4.93,278.35,1.83,80.3,8.68,6.97,1.71,4.36,7.0,1245.31,2.54,4.85,231.5,4.93,False
2015-01-02 14:50:00,996.77,4.94,278.35,1.72,79.6,8.69,6.92,1.77,4.33,6.94,1245.34,4.02,5.93,216.0,4.94,False
2015-01-02 15:00:00,996.89,4.97,278.38,1.77,79.7,8.71,6.94,1.77,4.34,6.96,1245.32,4.05,7.39,221.5,4.97,False
2015-01-02 15:10:00,996.9,4.98,278.39,1.76,79.6,8.72,6.94,1.78,4.34,6.96,1245.3,4.51,7.65,220.1,4.98,False
2015-01-02 15:20:00,997.07,4.93,278.33,1.79,80.0,8.69,6.95,1.74,4.35,6.97,1245.71,2.99,5.57,224.3,4.93,False
2015-01-02 15:30:00,997.26,4.88,278.26,1.75,80.1,8.66,6.93,1.72,4.34,6.95,1246.18,2.7,5.31,228.5,4.88,False
2015-01-02 15:40:00,997.35,4.78,278.15,1.69,80.3,8.6,6.9,1.69,4.32,6.92,1246.76,2.29,4.61,226.1,4.78,False
2015-01-02 15:50:00,997.49,4.66,278.02,1.62,80.6,8.52,6.87,1.65,4.3,6.89,1247.5,2.16,4.25,217.4,4.66,False
2015-01-02 16:00:00,997.64,4.45,277.8,1.49,81.0,8.4,6.8,1.6,4.25,6.82,1248.66,3.61,5.77,214.4,4.45,False
2015-01-02 16:10:00,997.78,4.24,277.58,1.35,81.4,8.28,6.74,1.54,4.21,6.75,1249.81,3.19,5.45,205.6,4.24,False
2015-01-02 16:20:00,997.89,3.93,277.25,1.2,82.3,8.09,6.66,1.43,4.16,6.68,1251.41,1.29,2.4,210.0,3.93,False
2015-01-02 16:30:00,997.95,3.69,277.01,1.15,83.4,7.96,6.64,1.32,4.15,6.65,1252.58,0.72,1.88,199.8,3.69,False
2015-01-02 16:40:00,998.03,3.7,277.01,1.15,83.4,7.96,6.64,1.32,4.15,6.65,1252.64,0.68,1.8,81.2,3.7,False
2015-01-02 16:50:00,998.09,3.78,277.1,1.18,83.0,8.01,6.65,1.36,4.16,6.66,1252.3,1.26,2.44,204.1,3.78,False
